Index: 2, Salutary Label: 2, Ground Truth: 2, Influence Score: 780600.9375
Index: 17, Salutary Label: 7, Ground Truth: 7, Influence Score: 59296.359375
Index: 21, Salutary Label: 1, Ground Truth: 1, Influence Score: 4050.1669921875
Index: 39, Salutary Label: 9, Ground Truth: 9, Influence Score: 3100.7626953125
Index: 42, Salutary Label: 2, Ground Truth: 6, Influence Score: 1525992.875
Index: 71, Salutary Label: 1, Ground Truth: 1, Influence Score: 768573.25
Index: 81, Salutary Label: 1, Ground Truth: 1, Influence Score: 518.7730712890625
Index: 110, Salutary Label: 0, Ground Truth: 0, Influence Score: 1600697.5
Index: 122, Salutary Label: 2, Ground Truth: 6, Influence Score: 825455.75
Index: 157, Salutary Label: 7, Ground Truth: 5, Influence Score: 1040505.5
Index: 160, Salutary Label: 0, Ground Truth: 0, Influence Score: 484819.875
Index: 172, Salutary Label: 2, Ground Truth: 2, Influence Score: 102905.109375
Index: 186, Salutary Label: 6, Ground Truth: 6, Influence Score: 406391.1875
Index: 219, Salutary Label: 9, Ground Truth: 9, Influence Score: 4265.99560546875
Index: 237, Salutary Label: 7, Ground Truth: 7, Influence Score: 10282.232421875
Index: 251, Salutary Label: 1, Ground Truth: 1, Influence Score: 1345895.25
Index: 265, Salutary Label: 5, Ground Truth: 5, Influence Score: 1681557.75
Index: 277, Salutary Label: 7, Ground Truth: 7, Influence Score: 325674.53125
Index: 286, Salutary Label: 6, Ground Truth: 6, Influence Score: 8164.12353515625
Index: 293, Salutary Label: 3, Ground Truth: 3, Influence Score: 545056.375
Index: 305, Salutary Label: 5, Ground Truth: 5, Influence Score: 1269321.375
Index: 312, Salutary Label: 2, Ground Truth: 3, Influence Score: 407200.75
Index: 325, Salutary Label: 5, Ground Truth: 8, Influence Score: 1480726.0
Index: 345, Salutary Label: 5, Ground Truth: 5, Influence Score: 1599739.375
Index: 377, Salutary Label: 7, Ground Truth: 4, Influence Score: 1844508.75
Index: 395, Salutary Label: 5, Ground Truth: 5, Influence Score: 375005.4375
Index: 412, Salutary Label: 2, Ground Truth: 9, Influence Score: 1716466.125
Index: 427, Salutary Label: 7, Ground Truth: 4, Influence Score: 456495.4375
Index: 432, Salutary Label: 2, Ground Truth: 5, Influence Score: 714891.25
Index: 447, Salutary Label: 7, Ground Truth: 7, Influence Score: 18196.5390625
Index: 452, Salutary Label: 2, Ground Truth: 2, Influence Score: 1348354.75
Index: 465, Salutary Label: 5, Ground Truth: 5, Influence Score: 641549.875
Index: 470, Salutary Label: 0, Ground Truth: 1, Influence Score: 1931238.375
Index: 489, Salutary Label: 9, Ground Truth: 9, Influence Score: 5987.73291015625
Index: 493, Salutary Label: 3, Ground Truth: 3, Influence Score: 23296.576171875
Index: 516, Salutary Label: 6, Ground Truth: 3, Influence Score: 665182.625
Index: 526, Salutary Label: 6, Ground Truth: 6, Influence Score: 1167827.25
Index: 535, Salutary Label: 5, Ground Truth: 5, Influence Score: 15993.3701171875
Index: 548, Salutary Label: 8, Ground Truth: 8, Influence Score: 18537.423828125
Index: 557, Salutary Label: 7, Ground Truth: 5, Influence Score: 1708049.125
Index: 566, Salutary Label: 6, Ground Truth: 3, Influence Score: 289906.59375
Index: 578, Salutary Label: 8, Ground Truth: 9, Influence Score: 1182429.875
Index: 581, Salutary Label: 1, Ground Truth: 1, Influence Score: 6062.5830078125
Index: 606, Salutary Label: 6, Ground Truth: 3, Influence Score: 498810.09375
Index: 615, Salutary Label: 5, Ground Truth: 3, Influence Score: 966972.3125
Index: 625, Salutary Label: 5, Ground Truth: 5, Influence Score: 427595.21875
Index: 633, Salutary Label: 3, Ground Truth: 2, Influence Score: 411905.5625
Index: 648, Salutary Label: 8, Ground Truth: 8, Influence Score: 917549.8125
Index: 657, Salutary Label: 7, Ground Truth: 7, Influence Score: 224781.390625
Index: 669, Salutary Label: 9, Ground Truth: 9, Influence Score: 8442.7080078125
Index: 675, Salutary Label: 5, Ground Truth: 5, Influence Score: 1334989.75
Index: 682, Salutary Label: 2, Ground Truth: 2, Influence Score: 1055299.75
Index: 692, Salutary Label: 2, Ground Truth: 2, Influence Score: 1907978.75
Index: 723, Salutary Label: 3, Ground Truth: 3, Influence Score: 20809.693359375
Index: 735, Salutary Label: 5, Ground Truth: 6, Influence Score: 550696.4375
Index: 745, Salutary Label: 5, Ground Truth: 3, Influence Score: 1365856.125
Index: 754, Salutary Label: 4, Ground Truth: 4, Influence Score: 1230120.75
Index: 772, Salutary Label: 2, Ground Truth: 2, Influence Score: 887099.375
