Index: 9, Salutary Label: 9, Ground Truth: 9, Influence Score: 168357.546875
Index: 19, Salutary Label: 9, Ground Truth: 9, Influence Score: 1245633.5
Index: 20, Salutary Label: 0, Ground Truth: 0, Influence Score: 147580.890625
Index: 30, Salutary Label: 0, Ground Truth: 0, Influence Score: 705510.0
Index: 45, Salutary Label: 5, Ground Truth: 5, Influence Score: 1636167.75
Index: 56, Salutary Label: 6, Ground Truth: 3, Influence Score: 39622.22265625
Index: 68, Salutary Label: 8, Ground Truth: 8, Influence Score: 248334.15625
Index: 75, Salutary Label: 5, Ground Truth: 3, Influence Score: 1310929.75
Index: 82, Salutary Label: 2, Ground Truth: 2, Influence Score: 62814.85546875
Index: 91, Salutary Label: 1, Ground Truth: 1, Influence Score: 288320.75
Index: 101, Salutary Label: 1, Ground Truth: 1, Influence Score: 1344.191162109375
Index: 116, Salutary Label: 6, Ground Truth: 6, Influence Score: 411.26007080078125
Index: 120, Salutary Label: 0, Ground Truth: 0, Influence Score: 684520.75
Index: 131, Salutary Label: 1, Ground Truth: 1, Influence Score: 485955.0625
Index: 144, Salutary Label: 4, Ground Truth: 3, Influence Score: 785362.125
Index: 157, Salutary Label: 7, Ground Truth: 6, Influence Score: 1562166.625
Index: 160, Salutary Label: 0, Ground Truth: 0, Influence Score: 497729.4375
Index: 178, Salutary Label: 8, Ground Truth: 8, Influence Score: 855999.3125
Index: 180, Salutary Label: 0, Ground Truth: 0, Influence Score: 433215.75
Index: 207, Salutary Label: 7, Ground Truth: 3, Influence Score: 1389516.875
Index: 244, Salutary Label: 4, Ground Truth: 4, Influence Score: 1855565.875
Index: 269, Salutary Label: 9, Ground Truth: 9, Influence Score: 207274.8125
Index: 279, Salutary Label: 9, Ground Truth: 5, Influence Score: 771380.875
Index: 282, Salutary Label: 2, Ground Truth: 2, Influence Score: 1303531.0
Index: 296, Salutary Label: 6, Ground Truth: 3, Influence Score: 288603.9375
Index: 301, Salutary Label: 1, Ground Truth: 1, Influence Score: 5506.58984375
Index: 317, Salutary Label: 7, Ground Truth: 3, Influence Score: 1668304.875
Index: 327, Salutary Label: 7, Ground Truth: 5, Influence Score: 351765.375
Index: 336, Salutary Label: 6, Ground Truth: 6, Influence Score: 11838.7646484375
Index: 346, Salutary Label: 6, Ground Truth: 6, Influence Score: 1017268.375
Index: 351, Salutary Label: 1, Ground Truth: 1, Influence Score: 70477.390625
Index: 361, Salutary Label: 1, Ground Truth: 1, Influence Score: 2306.1171875
Index: 371, Salutary Label: 1, Ground Truth: 1, Influence Score: 9896.994140625
Index: 387, Salutary Label: 7, Ground Truth: 7, Influence Score: 414703.1875
Index: 391, Salutary Label: 1, Ground Truth: 0, Influence Score: 884028.125
Index: 402, Salutary Label: 2, Ground Truth: 2, Influence Score: 609822.5
