Index: 13234, Salutary Label: 8, Ground Truth: 8, Influence Score: 14261.3544921875
Index: 1247, Salutary Label: 1, Ground Truth: 1, Influence Score: 50271.2109375
Index: 42606, Salutary Label: 6, Ground Truth: 6, Influence Score: 490156.21875
Index: 26661, Salutary Label: 8, Ground Truth: 8, Influence Score: 32444.123046875
Index: 5014, Salutary Label: 1, Ground Truth: 1, Influence Score: 8318.90625
Index: 32556, Salutary Label: 0, Ground Truth: 0, Influence Score: 301273.625
Index: 28323, Salutary Label: 0, Ground Truth: 0, Influence Score: 989238.75
Index: 7377, Salutary Label: 1, Ground Truth: 1, Influence Score: 3488.29248046875
Index: 28344, Salutary Label: 9, Ground Truth: 9, Influence Score: 184423.828125
Index: 5401, Salutary Label: 1, Ground Truth: 1, Influence Score: 106168.0
Index: 101, Salutary Label: 9, Ground Truth: 9, Influence Score: 74451.921875
Index: 35593, Salutary Label: 7, Ground Truth: 7, Influence Score: 4183.39453125
Index: 1018, Salutary Label: 6, Ground Truth: 6, Influence Score: 586028.0
Index: 39025, Salutary Label: 8, Ground Truth: 8, Influence Score: 64967.90625
Index: 6421, Salutary Label: 7, Ground Truth: 4, Influence Score: 927539.5625
Index: 10399, Salutary Label: 5, Ground Truth: 3, Influence Score: 179363.6875
Index: 8075, Salutary Label: 9, Ground Truth: 8, Influence Score: 23304.0
Index: 21578, Salutary Label: 6, Ground Truth: 6, Influence Score: 614569.75
Index: 1266, Salutary Label: 3, Ground Truth: 3, Influence Score: 895048.0
Index: 37773, Salutary Label: 5, Ground Truth: 5, Influence Score: 674262.0625
Index: 37026, Salutary Label: 8, Ground Truth: 8, Influence Score: 272184.25
Index: 8569, Salutary Label: 0, Ground Truth: 0, Influence Score: 705421.0
Index: 37718, Salutary Label: 7, Ground Truth: 5, Influence Score: 765165.3125
Index: 25715, Salutary Label: 6, Ground Truth: 6, Influence Score: 903489.5625
Index: 3578, Salutary Label: 7, Ground Truth: 7, Influence Score: 74045.515625
Index: 12293, Salutary Label: 5, Ground Truth: 5, Influence Score: 397221.75
Index: 4253, Salutary Label: 5, Ground Truth: 5, Influence Score: 194590.8125
Index: 27625, Salutary Label: 9, Ground Truth: 9, Influence Score: 59825.7890625
Index: 19030, Salutary Label: 7, Ground Truth: 9, Influence Score: 654823.8125
Index: 7142, Salutary Label: 1, Ground Truth: 1, Influence Score: 60787.96875
Index: 35796, Salutary Label: 1, Ground Truth: 1, Influence Score: 825.101318359375
Index: 23244, Salutary Label: 2, Ground Truth: 2, Influence Score: 438356.1875
Index: 1072, Salutary Label: 8, Ground Truth: 8, Influence Score: 161470.921875
Index: 12085, Salutary Label: 1, Ground Truth: 1, Influence Score: 3685.02001953125
Index: 18847, Salutary Label: 1, Ground Truth: 1, Influence Score: 389.6562194824219
Index: 36403, Salutary Label: 1, Ground Truth: 1, Influence Score: 15848.0654296875
Index: 2975, Salutary Label: 0, Ground Truth: 0, Influence Score: 720900.6875
Index: 28492, Salutary Label: 5, Ground Truth: 2, Influence Score: 26466.947265625
Index: 23148, Salutary Label: 9, Ground Truth: 9, Influence Score: 227539.65625
Index: 37311, Salutary Label: 9, Ground Truth: 9, Influence Score: 116821.5
Index: 30169, Salutary Label: 7, Ground Truth: 0, Influence Score: 230986.921875
Index: 34307, Salutary Label: 6, Ground Truth: 6, Influence Score: 11121.384765625
Index: 21161, Salutary Label: 2, Ground Truth: 0, Influence Score: 132534.140625
