1, 8, 8
2, 4, 4
3, 9, 9
4, 4, 4
5, 9, 9
6, 6, 6
7, 9, 9
10, 2, 2
12, 4, 4
13, 7, 7
14, 4, 4
16, 4, 4
17, 3, 3
18, 5, 5
19, 4, 4
20, 3, 5
21, 2, 2
22, 8, 8
23, 6, 4
25, 5, 5
26, 6, 2
27, 8, 8
28, 6, 6
29, 1, 1
31, 3, 3
32, 4, 4
33, 8, 8
34, 0, 3
35, 6, 6
36, 8, 8
37, 6, 6
38, 0, 2
39, 6, 4
40, 7, 7
41, 8, 8
42, 7, 4
44, 7, 7
46, 6, 6
47, 1, 1
48, 9, 9
49, 6, 2
50, 6, 6
51, 5, 3
52, 7, 4
53, 4, 4
54, 1, 1
55, 7, 7
56, 8, 8
58, 8, 8
61, 5, 5
62, 9, 9
64, 6, 6
65, 6, 6
66, 1, 9
68, 9, 9
70, 8, 8
71, 0, 0
72, 8, 1
73, 1, 9
74, 2, 2
75, 6, 6
76, 0, 0
78, 7, 7
79, 6, 6
80, 9, 9
81, 0, 0
82, 6, 2
83, 6, 4
84, 0, 0
85, 5, 5
87, 3, 3
88, 9, 1
89, 8, 8
90, 5, 5
92, 0, 0
94, 0, 0
95, 7, 7
96, 8, 8
97, 1, 1
98, 6, 3
99, 7, 7
100, 1, 1
102, 2, 2
103, 7, 4
104, 8, 8
105, 6, 6
106, 0, 0
107, 0, 0
110, 1, 1
113, 1, 1
114, 1, 1
115, 9, 1
116, 0, 0
117, 2, 2
118, 1, 1
119, 7, 7
120, 7, 7
122, 6, 6
123, 1, 1
124, 1, 1
125, 0, 0
126, 2, 2
128, 6, 6
130, 8, 8
131, 9, 9
132, 9, 9
133, 4, 4
134, 5, 3
135, 7, 5
136, 9, 9
139, 5, 5
140, 6, 6
143, 7, 0
144, 4, 2
145, 8, 8
146, 1, 1
147, 9, 9
148, 6, 6
153, 8, 8
155, 0, 0
156, 0, 0
157, 0, 0
158, 7, 7
159, 1, 1
161, 9, 9
162, 9, 9
163, 7, 7
164, 6, 5
165, 6, 6
166, 8, 8
167, 1, 1
168, 7, 7
169, 1, 9
170, 7, 7
172, 9, 9
173, 5, 5
174, 1, 1
175, 4, 4
176, 9, 9
178, 7, 4
179, 5, 5
180, 6, 6
181, 1, 1
182, 2, 2
184, 9, 9
185, 0, 0
186, 3, 5
187, 4, 4
188, 3, 3
189, 6, 6
190, 8, 8
191, 6, 1
192, 8, 8
193, 7, 7
194, 4, 4
195, 5, 5
197, 2, 2
198, 0, 8
199, 9, 9
200, 0, 0
202, 0, 0
203, 7, 7
204, 5, 5
206, 6, 6
207, 8, 0
208, 5, 3
209, 6, 6
210, 5, 3
211, 1, 1
212, 5, 5
213, 7, 4
214, 4, 4
215, 0, 0
216, 0, 0
217, 2, 2
218, 0, 0
219, 0, 0
220, 6, 6
221, 7, 7
222, 4, 3
223, 2, 2
224, 7, 2
225, 5, 5
226, 1, 1
227, 7, 7
228, 2, 2
229, 6, 3
230, 0, 0
231, 8, 8
232, 1, 0
233, 8, 8
234, 0, 0
235, 7, 4
236, 8, 8
237, 0, 0
238, 0, 0
239, 1, 1
240, 7, 7
241, 5, 7
242, 8, 8
243, 7, 7
244, 4, 4
245, 6, 6
246, 7, 7
247, 7, 7
248, 5, 5
249, 3, 3
250, 6, 6
251, 1, 1
252, 6, 6
254, 0, 2
256, 8, 8
257, 8, 0
258, 7, 7
259, 0, 0
260, 5, 5
261, 7, 7
263, 8, 8
264, 7, 7
265, 1, 1
267, 3, 3
269, 8, 8
271, 0, 4
272, 7, 7
273, 1, 1
274, 7, 7
275, 1, 1
276, 6, 6
277, 7, 7
279, 7, 7
280, 2, 2
282, 0, 0
284, 7, 7
285, 7, 7
286, 2, 5
287, 8, 8
288, 6, 6
289, 3, 3
290, 1, 1
291, 9, 9
293, 0, 0
294, 7, 7
295, 6, 6
296, 6, 6
297, 6, 6
298, 8, 8
299, 9, 0
301, 2, 2
302, 1, 0
303, 3, 2
304, 7, 7
305, 8, 8
306, 7, 7
307, 6, 6
309, 9, 9
310, 0, 2
311, 7, 7
312, 5, 5
313, 9, 9
314, 5, 3
315, 1, 1
316, 0, 2
317, 1, 1
318, 2, 2
319, 7, 7
320, 5, 5
321, 9, 9
322, 1, 1
323, 1, 1
324, 9, 9
325, 2, 2
326, 5, 3
327, 9, 9
330, 4, 4
331, 4, 4
332, 6, 6
333, 6, 6
334, 1, 1
335, 3, 3
336, 1, 1
337, 9, 9
338, 6, 6
339, 1, 1
340, 6, 6
341, 0, 0
343, 9, 9
344, 9, 9
345, 7, 7
346, 7, 7
347, 5, 5
349, 5, 5
351, 0, 0
352, 1, 1
353, 6, 6
354, 8, 8
355, 9, 9
356, 9, 9
357, 8, 8
358, 8, 8
359, 3, 6
360, 7, 7
361, 0, 0
362, 8, 8
363, 8, 8
364, 2, 2
365, 7, 7
366, 8, 8
368, 7, 7
369, 0, 6
370, 3, 3
371, 7, 7
372, 7, 4
373, 9, 9
374, 2, 2
375, 7, 7
376, 5, 5
378, 2, 2
379, 5, 7
380, 7, 4
381, 5, 5
382, 0, 0
383, 2, 2
384, 8, 9
385, 7, 7
386, 6, 2
387, 8, 0
388, 8, 8
389, 1, 9
390, 7, 6
392, 6, 6
393, 5, 5
394, 0, 0
397, 4, 4
398, 1, 1
399, 7, 7
401, 7, 7
402, 8, 8
404, 7, 3
406, 6, 6
408, 9, 9
409, 5, 5
410, 7, 7
411, 9, 0
412, 2, 2
413, 8, 8
414, 9, 9
415, 1, 1
416, 3, 3
417, 6, 6
418, 0, 0
419, 0, 0
420, 2, 2
421, 6, 6
423, 9, 9
424, 8, 8
426, 9, 9
427, 0, 0
428, 2, 2
429, 1, 1
430, 9, 9
431, 5, 5
432, 9, 0
433, 5, 5
435, 9, 9
436, 4, 4
437, 9, 9
438, 9, 9
441, 0, 0
443, 1, 1
444, 9, 9
445, 6, 2
446, 9, 9
447, 5, 5
448, 4, 4
449, 9, 9
450, 9, 9
451, 3, 3
452, 6, 5
454, 1, 1
455, 6, 2
458, 7, 7
459, 6, 6
460, 8, 8
461, 9, 9
462, 4, 4
463, 5, 5
464, 4, 4
465, 1, 1
466, 9, 9
467, 8, 8
468, 1, 1
470, 8, 8
471, 6, 6
473, 6, 6
474, 1, 1
475, 9, 9
476, 6, 6
478, 9, 9
479, 0, 0
480, 9, 9
482, 1, 1
483, 9, 3
484, 6, 0
485, 8, 8
486, 5, 5
487, 7, 7
488, 9, 9
491, 5, 7
493, 1, 1
494, 1, 1
495, 8, 8
498, 6, 6
499, 3, 3
500, 9, 9
502, 5, 5
504, 7, 7
505, 9, 9
506, 8, 8
508, 7, 5
509, 6, 6
510, 8, 3
511, 5, 0
512, 1, 1
513, 7, 7
514, 6, 6
515, 0, 0
516, 0, 0
517, 2, 2
518, 1, 1
519, 6, 6
520, 6, 5
521, 8, 8
522, 7, 4
523, 4, 4
524, 5, 5
526, 1, 1
527, 1, 9
528, 5, 5
530, 5, 5
532, 8, 8
534, 6, 6
535, 9, 9
536, 7, 7
538, 0, 0
