Index: 13830, Salutary Label: 6, Ground Truth: 6, Influence Score: 566688.0625
Index: 3346, Salutary Label: 9, Ground Truth: 9, Influence Score: 5718095.0
Index: 40845, Salutary Label: 7, Ground Truth: 7, Influence Score: 544593.875
Index: 11217, Salutary Label: 7, Ground Truth: 2, Influence Score: 1531033.875
Index: 3011, Salutary Label: 3, Ground Truth: 2, Influence Score: 4230812.0
Index: 4458, Salutary Label: 5, Ground Truth: 3, Influence Score: 2969897.0
Index: 15621, Salutary Label: 1, Ground Truth: 1, Influence Score: 187958.796875
Index: 23462, Salutary Label: 1, Ground Truth: 1, Influence Score: 70537.2734375
Index: 1630, Salutary Label: 0, Ground Truth: 0, Influence Score: 1855038.75
Index: 32026, Salutary Label: 8, Ground Truth: 2, Influence Score: 3433434.5
Index: 28726, Salutary Label: 5, Ground Truth: 2, Influence Score: 2735797.5
Index: 40949, Salutary Label: 8, Ground Truth: 8, Influence Score: 188654.375
Index: 12413, Salutary Label: 7, Ground Truth: 7, Influence Score: 661.7884521484375
Index: 24612, Salutary Label: 3, Ground Truth: 2, Influence Score: 3350906.0
Index: 10784, Salutary Label: 8, Ground Truth: 8, Influence Score: 99962.7265625
Index: 16783, Salutary Label: 1, Ground Truth: 1, Influence Score: 407976.6875
Index: 44536, Salutary Label: 8, Ground Truth: 8, Influence Score: 2860301.0
Index: 9633, Salutary Label: 9, Ground Truth: 9, Influence Score: 3462806.5
Index: 26454, Salutary Label: 0, Ground Truth: 0, Influence Score: 3636.0576171875
Index: 21946, Salutary Label: 1, Ground Truth: 1, Influence Score: 981547.125
Index: 4243, Salutary Label: 5, Ground Truth: 5, Influence Score: 2621401.5
Index: 9608, Salutary Label: 7, Ground Truth: 0, Influence Score: 834999.5625
Index: 35584, Salutary Label: 7, Ground Truth: 4, Influence Score: 3851344.25
Index: 27845, Salutary Label: 8, Ground Truth: 8, Influence Score: 141198.6875
Index: 37170, Salutary Label: 5, Ground Truth: 5, Influence Score: 1405313.0
Index: 1391, Salutary Label: 7, Ground Truth: 4, Influence Score: 1960418.75
Index: 17021, Salutary Label: 9, Ground Truth: 9, Influence Score: 910346.0
Index: 535, Salutary Label: 9, Ground Truth: 3, Influence Score: 2448765.5
Index: 44676, Salutary Label: 6, Ground Truth: 8, Influence Score: 1214766.75
Index: 36981, Salutary Label: 3, Ground Truth: 5, Influence Score: 1927130.0
