Index: 6858, Salutary Label: 4, Ground Truth: 5, Influence Score: 1186142.0
Index: 10513, Salutary Label: 0, Ground Truth: 1, Influence Score: 134739.53125
Index: 22110, Salutary Label: 2, Ground Truth: 3, Influence Score: 433223.25
Index: 22952, Salutary Label: 9, Ground Truth: 9, Influence Score: 391034.4375
Index: 1647, Salutary Label: 5, Ground Truth: 5, Influence Score: 509702.9375
Index: 31569, Salutary Label: 5, Ground Truth: 5, Influence Score: 930050.375
Index: 38703, Salutary Label: 5, Ground Truth: 3, Influence Score: 1708258.5
Index: 29600, Salutary Label: 6, Ground Truth: 6, Influence Score: 2850629.0
Index: 18792, Salutary Label: 0, Ground Truth: 0, Influence Score: 91019.4453125
Index: 22149, Salutary Label: 6, Ground Truth: 6, Influence Score: 38197.82421875
Index: 16487, Salutary Label: 6, Ground Truth: 6, Influence Score: 73251.796875
Index: 19457, Salutary Label: 1, Ground Truth: 1, Influence Score: 50619.12890625
Index: 24336, Salutary Label: 7, Ground Truth: 7, Influence Score: 10327.37890625
Index: 35497, Salutary Label: 1, Ground Truth: 1, Influence Score: 242125.6875
Index: 17640, Salutary Label: 2, Ground Truth: 2, Influence Score: 417093.40625
Index: 17351, Salutary Label: 6, Ground Truth: 6, Influence Score: 1146602.5
Index: 21256, Salutary Label: 5, Ground Truth: 5, Influence Score: 770.158447265625
Index: 36345, Salutary Label: 2, Ground Truth: 9, Influence Score: 700195.375
Index: 22454, Salutary Label: 7, Ground Truth: 0, Influence Score: 786086.9375
Index: 33538, Salutary Label: 8, Ground Truth: 8, Influence Score: 1376.4559326171875
Index: 35646, Salutary Label: 5, Ground Truth: 7, Influence Score: 448971.625
Index: 43050, Salutary Label: 6, Ground Truth: 6, Influence Score: 740527.6875
Index: 22360, Salutary Label: 1, Ground Truth: 1, Influence Score: 732605.625
Index: 19346, Salutary Label: 7, Ground Truth: 0, Influence Score: 288458.3125
Index: 35047, Salutary Label: 1, Ground Truth: 1, Influence Score: 4370.3828125
Index: 5598, Salutary Label: 7, Ground Truth: 7, Influence Score: 1830293.625
Index: 1579, Salutary Label: 2, Ground Truth: 2, Influence Score: 630984.875
Index: 26190, Salutary Label: 2, Ground Truth: 2, Influence Score: 107301.9140625
Index: 21104, Salutary Label: 7, Ground Truth: 3, Influence Score: 1245202.25
Index: 838, Salutary Label: 7, Ground Truth: 7, Influence Score: 1767.225341796875
Index: 30544, Salutary Label: 5, Ground Truth: 5, Influence Score: 595742.1875
Index: 984, Salutary Label: 7, Ground Truth: 7, Influence Score: 195861.296875
Index: 29021, Salutary Label: 0, Ground Truth: 0, Influence Score: 121474.078125
Index: 35259, Salutary Label: 6, Ground Truth: 6, Influence Score: 250909.875
Index: 11358, Salutary Label: 1, Ground Truth: 0, Influence Score: 1465642.75
Index: 34239, Salutary Label: 7, Ground Truth: 7, Influence Score: 110961.8671875
Index: 40191, Salutary Label: 3, Ground Truth: 3, Influence Score: 1685872.5
Index: 13261, Salutary Label: 7, Ground Truth: 7, Influence Score: 64612.33984375
Index: 26066, Salutary Label: 7, Ground Truth: 2, Influence Score: 397937.96875
Index: 14395, Salutary Label: 7, Ground Truth: 7, Influence Score: 762.7326049804688
Index: 1191, Salutary Label: 7, Ground Truth: 7, Influence Score: 331612.3125
Index: 39196, Salutary Label: 5, Ground Truth: 5, Influence Score: 163605.59375
Index: 38257, Salutary Label: 2, Ground Truth: 3, Influence Score: 134692.65625
Index: 21536, Salutary Label: 1, Ground Truth: 1, Influence Score: 1633976.125
Index: 37017, Salutary Label: 7, Ground Truth: 7, Influence Score: 1353965.5
Index: 17182, Salutary Label: 2, Ground Truth: 0, Influence Score: 2947434.25
