Index: 17, Salutary Label: 7, Ground Truth: 7, Influence Score: 5.372232408262789e-05
Index: 40, Salutary Label: 0, Ground Truth: 0, Influence Score: 368499.5
Index: 57, Salutary Label: 7, Ground Truth: 7, Influence Score: -0.04633369669318199
Index: 67, Salutary Label: 7, Ground Truth: 7, Influence Score: 135.77786254882812
Index: 75, Salutary Label: 5, Ground Truth: 5, Influence Score: 623766.5625
Index: 109, Salutary Label: 9, Ground Truth: 9, Influence Score: 16416.8515625
Index: 111, Salutary Label: 1, Ground Truth: 1, Influence Score: 46081.125
Index: 125, Salutary Label: 5, Ground Truth: 5, Influence Score: 129149.0703125
Index: 130, Salutary Label: 0, Ground Truth: 7, Influence Score: 1399785.625
Index: 149, Salutary Label: 9, Ground Truth: 9, Influence Score: 1362861.5
Index: 157, Salutary Label: 7, Ground Truth: 7, Influence Score: 104.43467712402344
Index: 186, Salutary Label: 6, Ground Truth: 6, Influence Score: 1051471.375
Index: 209, Salutary Label: 9, Ground Truth: 9, Influence Score: 7046.49658203125
Index: 218, Salutary Label: 8, Ground Truth: 8, Influence Score: 155362.296875
Index: 229, Salutary Label: 9, Ground Truth: 9, Influence Score: 31378.1796875
Index: 236, Salutary Label: 6, Ground Truth: 6, Influence Score: 232430.765625
Index: 259, Salutary Label: 9, Ground Truth: 9, Influence Score: 13258.6416015625
Index: 273, Salutary Label: 3, Ground Truth: 2, Influence Score: 1656421.125
Index: 299, Salutary Label: 9, Ground Truth: 9, Influence Score: 149168.9375
Index: 301, Salutary Label: 1, Ground Truth: 1, Influence Score: 8.107683181762695
Index: 311, Salutary Label: 1, Ground Truth: 1, Influence Score: 213.3643341064453
Index: 340, Salutary Label: 0, Ground Truth: 0, Influence Score: 1438237.25
Index: 365, Salutary Label: 5, Ground Truth: 5, Influence Score: 200697.59375
Index: 380, Salutary Label: 0, Ground Truth: 0, Influence Score: 16190.96484375
Index: 407, Salutary Label: 7, Ground Truth: 7, Influence Score: 19.791040420532227
Index: 429, Salutary Label: 9, Ground Truth: 9, Influence Score: 291.957275390625
Index: 440, Salutary Label: 0, Ground Truth: 2, Influence Score: 1906178.75
Index: 459, Salutary Label: 9, Ground Truth: 9, Influence Score: 16.60137939453125
Index: 487, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.021557193249464035
Index: 513, Salutary Label: 3, Ground Truth: 2, Influence Score: 950052.8125
Index: 561, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.03411693125963211
Index: 570, Salutary Label: 0, Ground Truth: 0, Influence Score: 650.3731689453125
Index: 630, Salutary Label: 0, Ground Truth: 2, Influence Score: 1140566.375
Index: 648, Salutary Label: 8, Ground Truth: 8, Influence Score: 1026923.5
Index: 659, Salutary Label: 9, Ground Truth: 9, Influence Score: 14310.201171875
Index: 700, Salutary Label: 0, Ground Truth: 0, Influence Score: 18078.78515625
Index: 718, Salutary Label: 8, Ground Truth: 8, Influence Score: 1969478.5
Index: 748, Salutary Label: 8, Ground Truth: 8, Influence Score: 2821.918701171875
Index: 794, Salutary Label: 4, Ground Truth: 4, Influence Score: 28278.224609375
Index: 805, Salutary Label: 5, Ground Truth: 5, Influence Score: 46050.8203125
Index: 845, Salutary Label: 5, Ground Truth: 4, Influence Score: 216971.375
Index: 851, Salutary Label: 1, Ground Truth: 1, Influence Score: 822.0504150390625
Index: 860, Salutary Label: 0, Ground Truth: 0, Influence Score: 218640.9375
Index: 879, Salutary Label: 9, Ground Truth: 9, Influence Score: 61945.8984375
Index: 894, Salutary Label: 4, Ground Truth: 4, Influence Score: 923189.5625
Index: 901, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.2714424133300781
Index: 931, Salutary Label: 1, Ground Truth: 1, Influence Score: 16.59500503540039
Index: 942, Salutary Label: 2, Ground Truth: 2, Influence Score: 2373.6240234375
Index: 951, Salutary Label: 1, Ground Truth: 1, Influence Score: 18.943649291992188
Index: 990, Salutary Label: 0, Ground Truth: 0, Influence Score: 4173.74755859375
Index: 1035, Salutary Label: 5, Ground Truth: 5, Influence Score: 841112.3125
Index: 1180, Salutary Label: 0, Ground Truth: 0, Influence Score: 1973870.0
Index: 1221, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.3682336211204529
Index: 1241, Salutary Label: 1, Ground Truth: 1, Influence Score: 666511.625
Index: 1254, Salutary Label: 4, Ground Truth: 4, Influence Score: 6841.1611328125
Index: 1289, Salutary Label: 9, Ground Truth: 9, Influence Score: 600947.125
Index: 1290, Salutary Label: 0, Ground Truth: 0, Influence Score: 6666.3720703125
Index: 1331, Salutary Label: 1, Ground Truth: 1, Influence Score: 86.68708038330078
Index: 1347, Salutary Label: 7, Ground Truth: 7, Influence Score: 2.3573808670043945
Index: 1351, Salutary Label: 1, Ground Truth: 1, Influence Score: 467.27154541015625
Index: 1378, Salutary Label: 8, Ground Truth: 8, Influence Score: 1211025.75
Index: 1387, Salutary Label: 7, Ground Truth: 7, Influence Score: 71.36736297607422
Index: 1402, Salutary Label: 2, Ground Truth: 0, Influence Score: 498400.09375
Index: 1411, Salutary Label: 1, Ground Truth: 1, Influence Score: 140.7545623779297
Index: 1428, Salutary Label: 8, Ground Truth: 8, Influence Score: 4569.8916015625
Index: 1449, Salutary Label: 9, Ground Truth: 9, Influence Score: 10191.189453125
