Index: 21, Salutary Label: 1, Ground Truth: 1, Influence Score: 6.87368301441893e-05
Index: 31, Salutary Label: 1, Ground Truth: 1, Influence Score: 5.365861415863037
Index: 79, Salutary Label: 9, Ground Truth: 9, Influence Score: 0.00013840553583577275
Index: 115, Salutary Label: 5, Ground Truth: 5, Influence Score: 0.006707349326461554
Index: 135, Salutary Label: 5, Ground Truth: 3, Influence Score: 1940767.75
Index: 159, Salutary Label: 9, Ground Truth: 8, Influence Score: 1757976.5
Index: 163, Salutary Label: 3, Ground Truth: 3, Influence Score: 194.85128784179688
Index: 179, Salutary Label: 9, Ground Truth: 9, Influence Score: 48.06428527832031
Index: 185, Salutary Label: 5, Ground Truth: 5, Influence Score: 98741.875
Index: 205, Salutary Label: 5, Ground Truth: 5, Influence Score: 514998.1875
Index: 238, Salutary Label: 8, Ground Truth: 8, Influence Score: 113.93058776855469
Index: 241, Salutary Label: 1, Ground Truth: 1, Influence Score: 299584.09375
Index: 254, Salutary Label: 4, Ground Truth: 4, Influence Score: 93.70659637451172
Index: 279, Salutary Label: 9, Ground Truth: 9, Influence Score: 31.021718978881836
Index: 287, Salutary Label: 7, Ground Truth: 7, Influence Score: 27613.646484375
Index: 308, Salutary Label: 8, Ground Truth: 8, Influence Score: 32.47529602050781
Index: 312, Salutary Label: 2, Ground Truth: 2, Influence Score: 127.2228775024414
Index: 339, Salutary Label: 9, Ground Truth: 9, Influence Score: 2.8112449645996094
Index: 387, Salutary Label: 7, Ground Truth: 4, Influence Score: 1630317.25
Index: 395, Salutary Label: 5, Ground Truth: 5, Influence Score: 11017.8916015625
Index: 417, Salutary Label: 7, Ground Truth: 7, Influence Score: 300315.1875
Index: 454, Salutary Label: 4, Ground Truth: 4, Influence Score: 130.5091552734375
Index: 477, Salutary Label: 7, Ground Truth: 7, Influence Score: 2945.8876953125
Index: 489, Salutary Label: 9, Ground Truth: 9, Influence Score: 7745.7373046875
Index: 508, Salutary Label: 8, Ground Truth: 8, Influence Score: 59308.609375
Index: 552, Salutary Label: 2, Ground Truth: 0, Influence Score: 307393.84375
Index: 561, Salutary Label: 1, Ground Truth: 9, Influence Score: 1510.921875
Index: 589, Salutary Label: 9, Ground Truth: 9, Influence Score: 12233.7470703125
Index: 590, Salutary Label: 0, Ground Truth: 0, Influence Score: 674502.375
Index: 641, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.008712716400623322
Index: 667, Salutary Label: 7, Ground Truth: 0, Influence Score: 1035850.5
Index: 689, Salutary Label: 9, Ground Truth: 9, Influence Score: 2147.909912109375
Index: 747, Salutary Label: 7, Ground Truth: 7, Influence Score: 23127.142578125
Index: 769, Salutary Label: 9, Ground Truth: 9, Influence Score: 710923.0
Index: 779, Salutary Label: 9, Ground Truth: 9, Influence Score: 216492.90625
Index: 780, Salutary Label: 0, Ground Truth: 0, Influence Score: 7.397904872894287
Index: 801, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.024980854243040085
Index: 817, Salutary Label: 7, Ground Truth: 7, Influence Score: 1314198.5
Index: 822, Salutary Label: 2, Ground Truth: 2, Influence Score: 127905.4765625
Index: 839, Salutary Label: 9, Ground Truth: 8, Influence Score: 577029.5
Index: 849, Salutary Label: 9, Ground Truth: 8, Influence Score: 379269.75
Index: 861, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.002544693648815155
Index: 888, Salutary Label: 8, Ground Truth: 8, Influence Score: 4.317196846008301
Index: 899, Salutary Label: 9, Ground Truth: 9, Influence Score: 5.339995384216309
Index: 919, Salutary Label: 9, Ground Truth: 9, Influence Score: 326.7469787597656
Index: 939, Salutary Label: 9, Ground Truth: 8, Influence Score: 1758492.75
Index: 958, Salutary Label: 8, Ground Truth: 8, Influence Score: 48.38595199584961
Index: 997, Salutary Label: 7, Ground Truth: 7, Influence Score: 1908854.375
