Index: 7, Salutary Label: 7, Ground Truth: 7, Influence Score: -0.05311013385653496
Index: 10, Salutary Label: 0, Ground Truth: 0, Influence Score: 1727.33642578125
Index: 28, Salutary Label: 8, Ground Truth: 8, Influence Score: 124.06660461425781
Index: 41, Salutary Label: 1, Ground Truth: 1, Influence Score: 3863.413330078125
Index: 66, Salutary Label: 6, Ground Truth: 6, Influence Score: 164061.890625
Index: 87, Salutary Label: 7, Ground Truth: 7, Influence Score: 24.499378204345703
Index: 91, Salutary Label: 1, Ground Truth: 1, Influence Score: 486958.5
Index: 120, Salutary Label: 0, Ground Truth: 8, Influence Score: 1568430.0
Index: 140, Salutary Label: 0, Ground Truth: 0, Influence Score: 198328.46875
Index: 151, Salutary Label: 1, Ground Truth: 1, Influence Score: 1028741.5625
Index: 160, Salutary Label: 0, Ground Truth: 8, Influence Score: 1336596.0
Index: 176, Salutary Label: 6, Ground Truth: 6, Influence Score: 10566.1533203125
Index: 200, Salutary Label: 0, Ground Truth: 2, Influence Score: 61202.4375
Index: 221, Salutary Label: 1, Ground Truth: 8, Influence Score: 842503.5625
Index: 240, Salutary Label: 0, Ground Truth: 0, Influence Score: 1951584.25
Index: 278, Salutary Label: 8, Ground Truth: 0, Influence Score: 500.035888671875
Index: 291, Salutary Label: 1, Ground Truth: 1, Influence Score: 15648.9853515625
Index: 327, Salutary Label: 7, Ground Truth: 7, Influence Score: 7.87765645980835
Index: 349, Salutary Label: 9, Ground Truth: 9, Influence Score: 2.8780007362365723
Index: 355, Salutary Label: 5, Ground Truth: 0, Influence Score: 30141.2890625
Index: 380, Salutary Label: 0, Ground Truth: 0, Influence Score: 5577.7421875
Index: 406, Salutary Label: 6, Ground Truth: 3, Influence Score: 762517.8125
Index: 426, Salutary Label: 6, Ground Truth: 6, Influence Score: 1979515.75
Index: 460, Salutary Label: 0, Ground Truth: 0, Influence Score: 221.08375549316406
Index: 514, Salutary Label: 4, Ground Truth: 4, Influence Score: 1499095.875
Index: 521, Salutary Label: 1, Ground Truth: 1, Influence Score: 46754.703125
Index: 532, Salutary Label: 2, Ground Truth: 2, Influence Score: 213198.359375
Index: 551, Salutary Label: 1, Ground Truth: 1, Influence Score: 37018.8125
Index: 566, Salutary Label: 6, Ground Truth: 6, Influence Score: 833776.375
Index: 570, Salutary Label: 0, Ground Truth: 0, Influence Score: 104507.328125
Index: 587, Salutary Label: 7, Ground Truth: 7, Influence Score: 93076.609375
Index: 600, Salutary Label: 0, Ground Truth: 0, Influence Score: 1110969.0
Index: 650, Salutary Label: 0, Ground Truth: 0, Influence Score: 24.137466430664062
Index: 661, Salutary Label: 1, Ground Truth: 1, Influence Score: 1418764.375
Index: 674, Salutary Label: 4, Ground Truth: 4, Influence Score: 549222.9375
Index: 740, Salutary Label: 0, Ground Truth: 9, Influence Score: 1682284.0
Index: 782, Salutary Label: 2, Ground Truth: 2, Influence Score: 10604.515625
Index: 815, Salutary Label: 5, Ground Truth: 5, Influence Score: 2765.972412109375
Index: 836, Salutary Label: 6, Ground Truth: 6, Influence Score: 79443.796875
Index: 861, Salutary Label: 1, Ground Truth: 1, Influence Score: 30743.5078125
Index: 897, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.005341033451259136
Index: 906, Salutary Label: 6, Ground Truth: 9, Influence Score: 1114674.0
Index: 936, Salutary Label: 6, Ground Truth: 3, Influence Score: 582964.75
Index: 978, Salutary Label: 8, Ground Truth: 8, Influence Score: 30284.6171875
Index: 1002, Salutary Label: 2, Ground Truth: 2, Influence Score: 1950559.25
Index: 1016, Salutary Label: 6, Ground Truth: 6, Influence Score: 71094.4453125
Index: 1039, Salutary Label: 9, Ground Truth: 9, Influence Score: 0.029821917414665222
Index: 1046, Salutary Label: 6, Ground Truth: 6, Influence Score: 1199459.375
Index: 1066, Salutary Label: 6, Ground Truth: 6, Influence Score: 203797.671875
Index: 1089, Salutary Label: 9, Ground Truth: 9, Influence Score: 147.06211853027344
Index: 1102, Salutary Label: 2, Ground Truth: 2, Influence Score: 1103384.0
Index: 1145, Salutary Label: 5, Ground Truth: 5, Influence Score: 5748.5732421875
Index: 1157, Salutary Label: 7, Ground Truth: 7, Influence Score: 4125.48388671875
Index: 1166, Salutary Label: 6, Ground Truth: 3, Influence Score: 1046397.875
Index: 1181, Salutary Label: 1, Ground Truth: 1, Influence Score: 581684.75
Index: 1190, Salutary Label: 0, Ground Truth: 8, Influence Score: 1018305.0
Index: 1241, Salutary Label: 1, Ground Truth: 1, Influence Score: 43216.99609375
Index: 1262, Salutary Label: 2, Ground Truth: 3, Influence Score: 1049192.375
Index: 1287, Salutary Label: 7, Ground Truth: 7, Influence Score: 246527.640625
Index: 1297, Salutary Label: 7, Ground Truth: 7, Influence Score: 227.4029541015625
Index: 1301, Salutary Label: 1, Ground Truth: 1, Influence Score: 1657283.0
Index: 1327, Salutary Label: 7, Ground Truth: 7, Influence Score: 136.25234985351562
Index: 1331, Salutary Label: 1, Ground Truth: 1, Influence Score: 69446.0078125
Index: 1372, Salutary Label: 2, Ground Truth: 2, Influence Score: 1019664.0
Index: 1437, Salutary Label: 7, Ground Truth: 5, Influence Score: 397330.8125
Index: 1457, Salutary Label: 7, Ground Truth: 7, Influence Score: 1027198.3125
Index: 1482, Salutary Label: 2, Ground Truth: 0, Influence Score: 1410381.25
Index: 1490, Salutary Label: 0, Ground Truth: 0, Influence Score: 5804.1416015625
Index: 1529, Salutary Label: 9, Ground Truth: 9, Influence Score: 9.002819061279297
Index: 1542, Salutary Label: 2, Ground Truth: 8, Influence Score: 743683.5
Index: 1556, Salutary Label: 6, Ground Truth: 6, Influence Score: 591214.8125
Index: 1567, Salutary Label: 7, Ground Truth: 7, Influence Score: 4407.1435546875
Index: 1577, Salutary Label: 7, Ground Truth: 7, Influence Score: -0.019109221175312996
Index: 1599, Salutary Label: 9, Ground Truth: 9, Influence Score: 2.8973751068115234
Index: 1601, Salutary Label: 1, Ground Truth: 1, Influence Score: 43690.9609375
Index: 1619, Salutary Label: 9, Ground Truth: 9, Influence Score: 8.051151275634766
Index: 1651, Salutary Label: 1, Ground Truth: 0, Influence Score: 1818587.75
Index: 1670, Salutary Label: 0, Ground Truth: 4, Influence Score: 598045.25
Index: 1691, Salutary Label: 1, Ground Truth: 1, Influence Score: 1767.0220947265625
Index: 1766, Salutary Label: 6, Ground Truth: 9, Influence Score: 1282666.0
Index: 1786, Salutary Label: 6, Ground Truth: 6, Influence Score: 88870.4296875
Index: 1791, Salutary Label: 1, Ground Truth: 1, Influence Score: 75.48871612548828
Index: 1846, Salutary Label: 6, Ground Truth: 3, Influence Score: 1261954.5
Index: 1861, Salutary Label: 1, Ground Truth: 1, Influence Score: 50714.1171875
Index: 1880, Salutary Label: 0, Ground Truth: 8, Influence Score: 52747.671875
Index: 1906, Salutary Label: 6, Ground Truth: 6, Influence Score: 106419.0859375
Index: 1917, Salutary Label: 7, Ground Truth: 7, Influence Score: 28647.107421875
Index: 1922, Salutary Label: 2, Ground Truth: 2, Influence Score: 1891437.5
Index: 1955, Salutary Label: 5, Ground Truth: 3, Influence Score: 193789.59375
Index: 1965, Salutary Label: 5, Ground Truth: 5, Influence Score: 559235.875
Index: 1991, Salutary Label: 1, Ground Truth: 1, Influence Score: 245276.46875
Index: 2016, Salutary Label: 6, Ground Truth: 6, Influence Score: 11420.740234375
Index: 2060, Salutary Label: 0, Ground Truth: 0, Influence Score: 5507.49462890625
Index: 2070, Salutary Label: 0, Ground Truth: 8, Influence Score: 171597.625
Index: 2086, Salutary Label: 6, Ground Truth: 6, Influence Score: 19932.27734375
Index: 2112, Salutary Label: 2, Ground Truth: 5, Influence Score: 16.493343353271484
Index: 2162, Salutary Label: 2, Ground Truth: 8, Influence Score: 145664.0
Index: 2170, Salutary Label: 0, Ground Truth: 9, Influence Score: 338818.0
Index: 2191, Salutary Label: 1, Ground Truth: 1, Influence Score: 51059.52734375
Index: 2200, Salutary Label: 0, Ground Truth: 0, Influence Score: 189709.0625
Index: 2216, Salutary Label: 6, Ground Truth: 5, Influence Score: 439160.875
Index: 2224, Salutary Label: 4, Ground Truth: 7, Influence Score: 1958492.25
Index: 2335, Salutary Label: 5, Ground Truth: 5, Influence Score: 166861.5625
Index: 2370, Salutary Label: 0, Ground Truth: 0, Influence Score: 639.2479248046875
Index: 2397, Salutary Label: 7, Ground Truth: 7, Influence Score: 24302.6640625
Index: 2421, Salutary Label: 1, Ground Truth: 9, Influence Score: 1211100.0
Index: 2502, Salutary Label: 2, Ground Truth: 2, Influence Score: 1275102.25
Index: 2516, Salutary Label: 6, Ground Truth: 6, Influence Score: 18816.435546875
Index: 2547, Salutary Label: 7, Ground Truth: 7, Influence Score: 68.04673767089844
Index: 2550, Salutary Label: 0, Ground Truth: 0, Influence Score: 44.706787109375
Index: 2560, Salutary Label: 0, Ground Truth: 0, Influence Score: 874092.75
Index: 2581, Salutary Label: 1, Ground Truth: 1, Influence Score: 179309.125
Index: 2606, Salutary Label: 6, Ground Truth: 3, Influence Score: 25273.955078125
Index: 2631, Salutary Label: 1, Ground Truth: 8, Influence Score: 236255.0
Index: 2646, Salutary Label: 6, Ground Truth: 6, Influence Score: 425896.03125
Index: 2650, Salutary Label: 0, Ground Truth: 0, Influence Score: 859706.625
Index: 2696, Salutary Label: 6, Ground Truth: 2, Influence Score: 8954.6142578125
Index: 2700, Salutary Label: 0, Ground Truth: 0, Influence Score: 950.588623046875
Index: 2714, Salutary Label: 4, Ground Truth: 2, Influence Score: 1162059.0
Index: 2726, Salutary Label: 6, Ground Truth: 6, Influence Score: 2413.428466796875
Index: 2742, Salutary Label: 2, Ground Truth: 7, Influence Score: 1736772.75
Index: 2775, Salutary Label: 5, Ground Truth: 5, Influence Score: 175680.40625
Index: 2805, Salutary Label: 5, Ground Truth: 3, Influence Score: 330417.78125
Index: 2826, Salutary Label: 6, Ground Truth: 6, Influence Score: 1173899.75
Index: 2859, Salutary Label: 9, Ground Truth: 9, Influence Score: 5.431859016418457
Index: 2867, Salutary Label: 7, Ground Truth: 7, Influence Score: 49.732200622558594
Index: 2887, Salutary Label: 7, Ground Truth: 7, Influence Score: 273395.375
Index: 2894, Salutary Label: 4, Ground Truth: 4, Influence Score: 416433.40625
Index: 2914, Salutary Label: 4, Ground Truth: 4, Influence Score: 857335.125
