Index: 71, Salutary Label: 1, Ground Truth: 1, Influence Score: 1.1311263733659871e-05
Index: 98, Salutary Label: 8, Ground Truth: 8, Influence Score: 400668.625
Index: 125, Salutary Label: 5, Ground Truth: 5, Influence Score: 47180.67578125
Index: 135, Salutary Label: 5, Ground Truth: 5, Influence Score: 1014162.125
Index: 179, Salutary Label: 9, Ground Truth: 9, Influence Score: 1300111.75
Index: 191, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.0011023376137018204
Index: 231, Salutary Label: 1, Ground Truth: 1, Influence Score: 5.219605554884765e-06
Index: 250, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.003995742183178663
Index: 268, Salutary Label: 8, Ground Truth: 8, Influence Score: 337404.125
Index: 288, Salutary Label: 8, Ground Truth: 8, Influence Score: 92.02461242675781
Index: 369, Salutary Label: 9, Ground Truth: 1, Influence Score: 63564.0
Index: 387, Salutary Label: 7, Ground Truth: 7, Influence Score: 10664.544921875
Index: 408, Salutary Label: 8, Ground Truth: 1, Influence Score: 367493.0
Index: 410, Salutary Label: 0, Ground Truth: 0, Influence Score: 14.883660316467285
Index: 421, Salutary Label: 1, Ground Truth: 1, Influence Score: 37.23005676269531
Index: 438, Salutary Label: 8, Ground Truth: 8, Influence Score: 1244.4384765625
Index: 441, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.004560096189379692
Index: 450, Salutary Label: 0, Ground Truth: 0, Influence Score: 2.289651870727539
Index: 491, Salutary Label: 1, Ground Truth: 0, Influence Score: 835883.0
Index: 507, Salutary Label: 7, Ground Truth: 5, Influence Score: 493761.25
Index: 517, Salutary Label: 7, Ground Truth: 7, Influence Score: 96.86613464355469
Index: 526, Salutary Label: 6, Ground Truth: 6, Influence Score: 2.9762983322143555
Index: 559, Salutary Label: 9, Ground Truth: 9, Influence Score: 87.51580047607422
Index: 571, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.003683647606521845
Index: 596, Salutary Label: 6, Ground Truth: 6, Influence Score: 91562.8203125
Index: 619, Salutary Label: 9, Ground Truth: 9, Influence Score: 1492806.0
Index: 621, Salutary Label: 1, Ground Truth: 1, Influence Score: 5.775591125711799e-05
Index: 643, Salutary Label: 3, Ground Truth: 4, Influence Score: 151571.75
Index: 669, Salutary Label: 9, Ground Truth: 9, Influence Score: 466190.34375
Index: 675, Salutary Label: 5, Ground Truth: 4, Influence Score: 329386.59375
Index: 681, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.08568538725376129
Index: 708, Salutary Label: 8, Ground Truth: 8, Influence Score: 14664.291015625
Index: 747, Salutary Label: 7, Ground Truth: 7, Influence Score: 57700.66015625
Index: 778, Salutary Label: 8, Ground Truth: 8, Influence Score: 51484.8671875
Index: 797, Salutary Label: 7, Ground Truth: 7, Influence Score: 83651.3984375
Index: 811, Salutary Label: 1, Ground Truth: 8, Influence Score: 261049.875
Index: 840, Salutary Label: 0, Ground Truth: 0, Influence Score: 330.77569580078125
Index: 909, Salutary Label: 9, Ground Truth: 9, Influence Score: 164400.734375
Index: 917, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.020390722900629044
Index: 957, Salutary Label: 7, Ground Truth: 7, Influence Score: 3.7442688941955566
Index: 967, Salutary Label: 7, Ground Truth: 7, Influence Score: 8.794300079345703
Index: 973, Salutary Label: 3, Ground Truth: 3, Influence Score: 96235.84375
Index: 1033, Salutary Label: 3, Ground Truth: 3, Influence Score: 7789.54638671875
Index: 1047, Salutary Label: 7, Ground Truth: 7, Influence Score: 10184.462890625
Index: 1057, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.000384597631637007
Index: 1067, Salutary Label: 7, Ground Truth: 3, Influence Score: 852124.3125
Index: 1077, Salutary Label: 7, Ground Truth: 7, Influence Score: 465490.875
Index: 1099, Salutary Label: 9, Ground Truth: 9, Influence Score: 129528.7890625
Index: 1112, Salutary Label: 2, Ground Truth: 3, Influence Score: 1564009.5
Index: 1190, Salutary Label: 0, Ground Truth: 0, Influence Score: 358.072265625
Index: 1207, Salutary Label: 7, Ground Truth: 7, Influence Score: 2664.38525390625
Index: 1216, Salutary Label: 6, Ground Truth: 6, Influence Score: 22.985042572021484
Index: 1235, Salutary Label: 5, Ground Truth: 5, Influence Score: 36180.15625
Index: 1308, Salutary Label: 8, Ground Truth: 8, Influence Score: 15.991291999816895
Index: 1318, Salutary Label: 8, Ground Truth: 8, Influence Score: 79.5931396484375
Index: 1330, Salutary Label: 0, Ground Truth: 0, Influence Score: 270.3267822265625
Index: 1356, Salutary Label: 6, Ground Truth: 6, Influence Score: 0.074579156935215
Index: 1370, Salutary Label: 0, Ground Truth: 0, Influence Score: 33.00092697143555
Index: 1381, Salutary Label: 1, Ground Truth: 6, Influence Score: 909932.75
Index: 1402, Salutary Label: 2, Ground Truth: 8, Influence Score: 555203.8125
Index: 1419, Salutary Label: 9, Ground Truth: 9, Influence Score: 640867.125
Index: 1426, Salutary Label: 6, Ground Truth: 6, Influence Score: 0.2723599970340729
Index: 1447, Salutary Label: 7, Ground Truth: 6, Influence Score: 459550.125
Index: 1459, Salutary Label: 9, Ground Truth: 6, Influence Score: 1076428.0
Index: 1467, Salutary Label: 7, Ground Truth: 7, Influence Score: 971290.0
Index: 1476, Salutary Label: 6, Ground Truth: 6, Influence Score: 124.21587371826172
Index: 1494, Salutary Label: 4, Ground Truth: 4, Influence Score: 0.5896680951118469
Index: 1515, Salutary Label: 5, Ground Truth: 6, Influence Score: 1914142.875
Index: 1528, Salutary Label: 8, Ground Truth: 8, Influence Score: 381991.875
Index: 1549, Salutary Label: 9, Ground Truth: 9, Influence Score: 91.7311019897461
Index: 1559, Salutary Label: 9, Ground Truth: 4, Influence Score: 642789.5
Index: 1565, Salutary Label: 5, Ground Truth: 5, Influence Score: 56011.53515625
Index: 1584, Salutary Label: 4, Ground Truth: 4, Influence Score: 0.03237033635377884
Index: 1597, Salutary Label: 7, Ground Truth: 7, Influence Score: 32.97980499267578
Index: 1607, Salutary Label: 7, Ground Truth: 7, Influence Score: 37.45473861694336
Index: 1639, Salutary Label: 9, Ground Truth: 9, Influence Score: 1244343.5
Index: 1654, Salutary Label: 4, Ground Truth: 4, Influence Score: 19.555339813232422
Index: 1679, Salutary Label: 9, Ground Truth: 9, Influence Score: 126543.5546875
Index: 1697, Salutary Label: 7, Ground Truth: 7, Influence Score: 1357.1607666015625
Index: 1710, Salutary Label: 0, Ground Truth: 0, Influence Score: 68.79248046875
Index: 1756, Salutary Label: 6, Ground Truth: 6, Influence Score: 13.932320594787598
Index: 1766, Salutary Label: 6, Ground Truth: 6, Influence Score: 13357.2734375
Index: 1771, Salutary Label: 1, Ground Truth: 1, Influence Score: 57.01400375366211
Index: 1819, Salutary Label: 9, Ground Truth: 9, Influence Score: 40796.09375
Index: 1868, Salutary Label: 8, Ground Truth: 2, Influence Score: 1453171.5
Index: 1879, Salutary Label: 9, Ground Truth: 9, Influence Score: 73909.4296875
Index: 1883, Salutary Label: 3, Ground Truth: 6, Influence Score: 1583559.875
Index: 1919, Salutary Label: 9, Ground Truth: 9, Influence Score: 98204.0
Index: 1931, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.1736057549715042
Index: 1955, Salutary Label: 5, Ground Truth: 3, Influence Score: 341282.5625
Index: 1977, Salutary Label: 7, Ground Truth: 7, Influence Score: 238361.21875
Index: 2010, Salutary Label: 0, Ground Truth: 0, Influence Score: 9.1915283203125
Index: 2021, Salutary Label: 1, Ground Truth: 1, Influence Score: 573.96044921875
Index: 2031, Salutary Label: 1, Ground Truth: 1, Influence Score: 471.65521240234375
Index: 2048, Salutary Label: 8, Ground Truth: 8, Influence Score: 187544.6875
Index: 2059, Salutary Label: 9, Ground Truth: 9, Influence Score: 535458.5
Index: 2097, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.05422588437795639
Index: 2135, Salutary Label: 5, Ground Truth: 5, Influence Score: 924908.25
Index: 2141, Salutary Label: 1, Ground Truth: 1, Influence Score: 7.301595687866211
Index: 2161, Salutary Label: 1, Ground Truth: 1, Influence Score: -7.208494935184717e-06
Index: 2229, Salutary Label: 9, Ground Truth: 9, Influence Score: 97522.4765625
Index: 2247, Salutary Label: 7, Ground Truth: 4, Influence Score: 806990.0625
Index: 2257, Salutary Label: 7, Ground Truth: 4, Influence Score: 889768.25
Index: 2263, Salutary Label: 3, Ground Truth: 3, Influence Score: 144077.765625
Index: 2271, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.2260848432779312
Index: 2289, Salutary Label: 9, Ground Truth: 9, Influence Score: 8592.5458984375
Index: 2338, Salutary Label: 8, Ground Truth: 8, Influence Score: 932.8492431640625
Index: 2355, Salutary Label: 5, Ground Truth: 3, Influence Score: 1725212.375
Index: 2361, Salutary Label: 1, Ground Truth: 9, Influence Score: 129.70977783203125
Index: 2379, Salutary Label: 9, Ground Truth: 9, Influence Score: 467970.65625
Index: 2399, Salutary Label: 9, Ground Truth: 9, Influence Score: 147.77593994140625
Index: 2405, Salutary Label: 5, Ground Truth: 5, Influence Score: 125293.8515625
Index: 2491, Salutary Label: 1, Ground Truth: 1, Influence Score: 0.047240328043699265
Index: 2537, Salutary Label: 7, Ground Truth: 7, Influence Score: 82689.2734375
Index: 2584, Salutary Label: 4, Ground Truth: 4, Influence Score: 0.003346893936395645
Index: 2591, Salutary Label: 1, Ground Truth: 1, Influence Score: 3.515852949931286e-05
Index: 2620, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.05705705285072327
Index: 2699, Salutary Label: 9, Ground Truth: 9, Influence Score: 503409.28125
Index: 2708, Salutary Label: 8, Ground Truth: 8, Influence Score: 244.35577392578125
Index: 2726, Salutary Label: 6, Ground Truth: 6, Influence Score: 820280.3125
Index: 2731, Salutary Label: 1, Ground Truth: 1, Influence Score: 15.63062572479248
Index: 2768, Salutary Label: 8, Ground Truth: 8, Influence Score: 12557.662109375
Index: 2788, Salutary Label: 8, Ground Truth: 8, Influence Score: 14282.859375
Index: 2796, Salutary Label: 6, Ground Truth: 6, Influence Score: 4674.6416015625
Index: 2878, Salutary Label: 8, Ground Truth: 8, Influence Score: 341174.03125
Index: 2896, Salutary Label: 6, Ground Truth: 6, Influence Score: 0.958445131778717
Index: 2908, Salutary Label: 8, Ground Truth: 8, Influence Score: 3500.10009765625
Index: 2957, Salutary Label: 7, Ground Truth: 7, Influence Score: 3210.531494140625
Index: 2962, Salutary Label: 2, Ground Truth: 2, Influence Score: 177.9228973388672
Index: 2979, Salutary Label: 9, Ground Truth: 0, Influence Score: 1503543.0
Index: 3017, Salutary Label: 7, Ground Truth: 7, Influence Score: 53223.70703125
Index: 3058, Salutary Label: 8, Ground Truth: 8, Influence Score: 179774.625
Index: 3066, Salutary Label: 6, Ground Truth: 6, Influence Score: 89.39883422851562
Index: 3087, Salutary Label: 7, Ground Truth: 4, Influence Score: 1090955.625
Index: 3097, Salutary Label: 7, Ground Truth: 7, Influence Score: 217.83502197265625
Index: 3125, Salutary Label: 5, Ground Truth: 5, Influence Score: 42302.16796875
Index: 3136, Salutary Label: 6, Ground Truth: 6, Influence Score: 2661.224365234375
Index: 3158, Salutary Label: 8, Ground Truth: 8, Influence Score: 433.1971435546875
Index: 3162, Salutary Label: 2, Ground Truth: 0, Influence Score: 5840.0
Index: 3176, Salutary Label: 6, Ground Truth: 6, Influence Score: 0.07235417515039444
Index: 3209, Salutary Label: 9, Ground Truth: 9, Influence Score: 31208.2265625
Index: 3218, Salutary Label: 8, Ground Truth: 8, Influence Score: 167979.703125
Index: 3221, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.0770307332277298
Index: 3249, Salutary Label: 9, Ground Truth: 9, Influence Score: 450964.4375
Index: 3257, Salutary Label: 7, Ground Truth: 7, Influence Score: 12219.4794921875
Index: 3261, Salutary Label: 1, Ground Truth: 1, Influence Score: 170.72442626953125
Index: 3278, Salutary Label: 8, Ground Truth: 8, Influence Score: 190360.1875
Index: 3283, Salutary Label: 3, Ground Truth: 3, Influence Score: 130433.3671875
Index: 3339, Salutary Label: 9, Ground Truth: 9, Influence Score: 1535215.0
Index: 3358, Salutary Label: 8, Ground Truth: 8, Influence Score: 238652.75
Index: 3366, Salutary Label: 6, Ground Truth: 6, Influence Score: 123.49179077148438
Index: 3379, Salutary Label: 9, Ground Truth: 9, Influence Score: 8992.251953125
Index: 3409, Salutary Label: 9, Ground Truth: 9, Influence Score: 36239.52734375
Index: 3413, Salutary Label: 3, Ground Truth: 3, Influence Score: 111638.25
Index: 3428, Salutary Label: 8, Ground Truth: 8, Influence Score: 353.70159912109375
Index: 3445, Salutary Label: 5, Ground Truth: 5, Influence Score: 31513.072265625
Index: 3499, Salutary Label: 9, Ground Truth: 9, Influence Score: 1758530.75
Index: 3505, Salutary Label: 5, Ground Truth: 5, Influence Score: 980444.6875
Index: 3529, Salutary Label: 9, Ground Truth: 9, Influence Score: 2469.108154296875
Index: 3560, Salutary Label: 0, Ground Truth: 0, Influence Score: 247.04345703125
Index: 3629, Salutary Label: 9, Ground Truth: 9, Influence Score: 4102.28955078125
Index: 3679, Salutary Label: 9, Ground Truth: 9, Influence Score: 91314.8515625
Index: 3715, Salutary Label: 5, Ground Truth: 5, Influence Score: 526018.625
Index: 3761, Salutary Label: 1, Ground Truth: 1, Influence Score: 12.005120277404785
Index: 3805, Salutary Label: 5, Ground Truth: 5, Influence Score: 107530.5390625
Index: 3823, Salutary Label: 3, Ground Truth: 6, Influence Score: 480675.46875
Index: 3869, Salutary Label: 9, Ground Truth: 6, Influence Score: 740520.0
Index: 3875, Salutary Label: 5, Ground Truth: 5, Influence Score: 500217.0625
Index: 3917, Salutary Label: 7, Ground Truth: 4, Influence Score: 401190.4375
Index: 3928, Salutary Label: 8, Ground Truth: 8, Influence Score: 6331.9619140625
Index: 3938, Salutary Label: 8, Ground Truth: 6, Influence Score: 1879548.375
Index: 3949, Salutary Label: 9, Ground Truth: 9, Influence Score: 120414.203125
Index: 3967, Salutary Label: 7, Ground Truth: 7, Influence Score: 217.5147247314453
Index: 4009, Salutary Label: 9, Ground Truth: 9, Influence Score: 209896.546875
Index: 4040, Salutary Label: 0, Ground Truth: 0, Influence Score: 3.968743324279785
Index: 4051, Salutary Label: 1, Ground Truth: 1, Influence Score: 6.229616701602936e-05
Index: 4069, Salutary Label: 9, Ground Truth: 3, Influence Score: 1393218.875
Index: 4089, Salutary Label: 9, Ground Truth: 9, Influence Score: 90255.1171875
Index: 4116, Salutary Label: 6, Ground Truth: 6, Influence Score: 939.1832275390625
Index: 4129, Salutary Label: 9, Ground Truth: 9, Influence Score: 2567.1826171875
Index: 4139, Salutary Label: 9, Ground Truth: 9, Influence Score: 6145.91162109375
Index: 4145, Salutary Label: 5, Ground Truth: 5, Influence Score: 1171902.875
Index: 4171, Salutary Label: 1, Ground Truth: 1, Influence Score: 28.356300354003906
Index: 4189, Salutary Label: 9, Ground Truth: 1, Influence Score: 337754.0625
Index: 4211, Salutary Label: 1, Ground Truth: 1, Influence Score: 93.85943603515625
Index: 4230, Salutary Label: 0, Ground Truth: 0, Influence Score: 5.976122856140137
Index: 4258, Salutary Label: 8, Ground Truth: 8, Influence Score: 1007.2623291015625
Index: 4265, Salutary Label: 5, Ground Truth: 5, Influence Score: 71030.4765625
Index: 4271, Salutary Label: 1, Ground Truth: 1, Influence Score: 40.294281005859375
Index: 4291, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.19424420595169067
Index: 4332, Salutary Label: 2, Ground Truth: 4, Influence Score: 123163.4375
Index: 4343, Salutary Label: 3, Ground Truth: 3, Influence Score: 0.0622134730219841
Index: 4369, Salutary Label: 9, Ground Truth: 9, Influence Score: 263.20074462890625
