Index: 11, Salutary Label: 1, Ground Truth: 1, Influence Score: -0.03363306075334549
Index: 71, Salutary Label: 1, Ground Truth: 1, Influence Score: 7.016595363616943
Index: 129, Salutary Label: 9, Ground Truth: 9, Influence Score: 1412.77001953125
Index: 175, Salutary Label: 5, Ground Truth: 5, Influence Score: 44.713836669921875
Index: 201, Salutary Label: 1, Ground Truth: 1, Influence Score: -4.2678730096668005e-06
Index: 210, Salutary Label: 0, Ground Truth: 0, Influence Score: 50431.4453125
Index: 238, Salutary Label: 8, Ground Truth: 8, Influence Score: 448399.3125
Index: 257, Salutary Label: 7, Ground Truth: 7, Influence Score: 43972.7578125
Index: 281, Salutary Label: 1, Ground Truth: 1, Influence Score: 2712.080078125
Index: 291, Salutary Label: 1, Ground Truth: 1, Influence Score: 2.8803908824920654
Index: 301, Salutary Label: 1, Ground Truth: 1, Influence Score: 82300.09375
Index: 368, Salutary Label: 8, Ground Truth: 8, Influence Score: 791174.8125
Index: 371, Salutary Label: 1, Ground Truth: 0, Influence Score: 23333.7890625
Index: 380, Salutary Label: 0, Ground Truth: 0, Influence Score: 22.998380661010742
Index: 391, Salutary Label: 1, Ground Truth: 1, Influence Score: 2.664979934692383
Index: 430, Salutary Label: 0, Ground Truth: 0, Influence Score: 17882.408203125
Index: 458, Salutary Label: 8, Ground Truth: 8, Influence Score: 1466160.625
Index: 498, Salutary Label: 8, Ground Truth: 8, Influence Score: 37822.30859375
Index: 529, Salutary Label: 9, Ground Truth: 6, Influence Score: 1654604.5
Index: 555, Salutary Label: 5, Ground Truth: 5, Influence Score: 70.68534851074219
Index: 578, Salutary Label: 8, Ground Truth: 8, Influence Score: 18995.458984375
Index: 585, Salutary Label: 5, Ground Truth: 5, Influence Score: 21.797422409057617
Index: 601, Salutary Label: 1, Ground Truth: 1, Influence Score: 798.7783813476562
Index: 639, Salutary Label: 9, Ground Truth: 9, Influence Score: 1979823.375
Index: 645, Salutary Label: 5, Ground Truth: 5, Influence Score: -0.006446634419262409
Index: 657, Salutary Label: 7, Ground Truth: 7, Influence Score: 128.1641082763672
Index: 660, Salutary Label: 0, Ground Truth: 0, Influence Score: 0.2487781047821045
Index: 673, Salutary Label: 3, Ground Truth: 3, Influence Score: 0.0001334827538812533
Index: 711, Salutary Label: 1, Ground Truth: 1, Influence Score: 1599404.0
Index: 727, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.3724641799926758
Index: 737, Salutary Label: 7, Ground Truth: 7, Influence Score: 255.7024688720703
Index: 779, Salutary Label: 9, Ground Truth: 3, Influence Score: 1764310.0
Index: 790, Salutary Label: 0, Ground Truth: 0, Influence Score: 16802.48046875
Index: 801, Salutary Label: 1, Ground Truth: 1, Influence Score: 310.79644775390625
Index: 830, Salutary Label: 0, Ground Truth: 0, Influence Score: 8127.7392578125
Index: 917, Salutary Label: 7, Ground Truth: 4, Influence Score: 1080178.75
Index: 921, Salutary Label: 1, Ground Truth: 1, Influence Score: 103.82475280761719
Index: 941, Salutary Label: 1, Ground Truth: 1, Influence Score: 2375.1298828125
Index: 1030, Salutary Label: 0, Ground Truth: 0, Influence Score: 116149.328125
Index: 1061, Salutary Label: 1, Ground Truth: 1, Influence Score: 82.34091186523438
Index: 1097, Salutary Label: 7, Ground Truth: 2, Influence Score: 19966.111328125
Index: 1169, Salutary Label: 9, Ground Truth: 5, Influence Score: 1971709.5
Index: 1170, Salutary Label: 0, Ground Truth: 0, Influence Score: 25481.48828125
Index: 1180, Salutary Label: 0, Ground Truth: 0, Influence Score: 54.37937545776367
Index: 1198, Salutary Label: 8, Ground Truth: 8, Influence Score: 11820.685546875
Index: 1211, Salutary Label: 1, Ground Truth: 1, Influence Score: 12003.826171875
Index: 1289, Salutary Label: 9, Ground Truth: 9, Influence Score: 1337933.75
Index: 1339, Salutary Label: 9, Ground Truth: 9, Influence Score: 737798.5625
Index: 1355, Salutary Label: 5, Ground Truth: 5, Influence Score: 67627.46875
Index: 1385, Salutary Label: 5, Ground Truth: 5, Influence Score: 53.585384368896484
Index: 1397, Salutary Label: 7, Ground Truth: 7, Influence Score: 950703.0625
Index: 1447, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.030001185834407806
Index: 1617, Salutary Label: 7, Ground Truth: 7, Influence Score: 46865.09375
Index: 1635, Salutary Label: 5, Ground Truth: 5, Influence Score: 442208.375
Index: 1640, Salutary Label: 0, Ground Truth: 0, Influence Score: 2068.611572265625
Index: 1699, Salutary Label: 9, Ground Truth: 3, Influence Score: 1986518.5
Index: 1729, Salutary Label: 9, Ground Truth: 9, Influence Score: 22809.70703125
Index: 1737, Salutary Label: 7, Ground Truth: 7, Influence Score: 46061.86328125
Index: 1751, Salutary Label: 1, Ground Truth: 1, Influence Score: 40257.96484375
Index: 1760, Salutary Label: 0, Ground Truth: 2, Influence Score: 158106.265625
Index: 1785, Salutary Label: 5, Ground Truth: 5, Influence Score: 4.533790588378906
Index: 1807, Salutary Label: 7, Ground Truth: 7, Influence Score: 53239.89453125
Index: 1820, Salutary Label: 0, Ground Truth: 0, Influence Score: 1422191.125
Index: 1837, Salutary Label: 7, Ground Truth: 7, Influence Score: 0.3233396112918854
Index: 1848, Salutary Label: 8, Ground Truth: 0, Influence Score: 1014855.0
Index: 1889, Salutary Label: 9, Ground Truth: 9, Influence Score: 810138.0
Index: 1911, Salutary Label: 1, Ground Truth: 1, Influence Score: 1671.1318359375
Index: 1948, Salutary Label: 8, Ground Truth: 8, Influence Score: 3932.65771484375
Index: 2030, Salutary Label: 0, Ground Truth: 0, Influence Score: 1691517.625
Index: 2050, Salutary Label: 0, Ground Truth: 4, Influence Score: 77135.1640625
Index: 2182, Salutary Label: 2, Ground Truth: 2, Influence Score: 324526.21875
Index: 2257, Salutary Label: 7, Ground Truth: 7, Influence Score: 85042.484375
Index: 2262, Salutary Label: 2, Ground Truth: 2, Influence Score: 389581.40625
Index: 2278, Salutary Label: 8, Ground Truth: 8, Influence Score: 648024.625
Index: 2292, Salutary Label: 2, Ground Truth: 0, Influence Score: 1856780.5
Index: 2327, Salutary Label: 7, Ground Truth: 7, Influence Score: 91389.9453125
Index: 2337, Salutary Label: 7, Ground Truth: 7, Influence Score: 1264389.625
Index: 2368, Salutary Label: 8, Ground Truth: 8, Influence Score: 393441.0625
Index: 2387, Salutary Label: 7, Ground Truth: 7, Influence Score: 38321.8671875
Index: 2449, Salutary Label: 9, Ground Truth: 9, Influence Score: 16783.203125
Index: 2455, Salutary Label: 5, Ground Truth: 5, Influence Score: 166.10458374023438
Index: 2517, Salutary Label: 7, Ground Truth: 7, Influence Score: 132745.0
Index: 2558, Salutary Label: 8, Ground Truth: 8, Influence Score: 957352.5
Index: 2580, Salutary Label: 0, Ground Truth: 0, Influence Score: 1045.890625
Index: 2641, Salutary Label: 1, Ground Truth: 1, Influence Score: 58942.6640625
Index: 2689, Salutary Label: 9, Ground Truth: 9, Influence Score: 221423.78125
Index: 2771, Salutary Label: 1, Ground Truth: 1, Influence Score: 335.9893798828125
Index: 2781, Salutary Label: 1, Ground Truth: 1, Influence Score: 3674.620361328125
Index: 2831, Salutary Label: 1, Ground Truth: 1, Influence Score: 23958.15234375
Index: 2875, Salutary Label: 5, Ground Truth: 5, Influence Score: 24917.44140625
Index: 2910, Salutary Label: 0, Ground Truth: 0, Influence Score: 24.237695693969727
Index: 2994, Salutary Label: 4, Ground Truth: 4, Influence Score: 46992.96875
Index: 3030, Salutary Label: 0, Ground Truth: 0, Influence Score: 208368.09375
Index: 3107, Salutary Label: 7, Ground Truth: 3, Influence Score: 689068.5
Index: 3118, Salutary Label: 8, Ground Truth: 3, Influence Score: 1626284.75
Index: 3131, Salutary Label: 1, Ground Truth: 1, Influence Score: 70136.3984375
Index: 3140, Salutary Label: 0, Ground Truth: 0, Influence Score: 1888.9779052734375
Index: 3150, Salutary Label: 0, Ground Truth: 0, Influence Score: 106238.625
Index: 3178, Salutary Label: 8, Ground Truth: 8, Influence Score: 1323134.0
Index: 3210, Salutary Label: 0, Ground Truth: 0, Influence Score: 487995.5
Index: 3251, Salutary Label: 1, Ground Truth: 1, Influence Score: 213.16656494140625
Index: 3332, Salutary Label: 2, Ground Truth: 2, Influence Score: 1516730.0
Index: 3341, Salutary Label: 1, Ground Truth: 1, Influence Score: 265.8766174316406
Index: 3370, Salutary Label: 0, Ground Truth: 0, Influence Score: 24786.578125
Index: 3395, Salutary Label: 5, Ground Truth: 3, Influence Score: 66.50563049316406
Index: 3411, Salutary Label: 1, Ground Truth: 1, Influence Score: 519275.5
Index: 3429, Salutary Label: 9, Ground Truth: 9, Influence Score: 36726.30078125
Index: 3445, Salutary Label: 5, Ground Truth: 5, Influence Score: 2.678065538406372
Index: 3462, Salutary Label: 2, Ground Truth: 0, Influence Score: 55464.25
